[4285],[-2340.8726],6625.87255859375
[2518],[9407.735],6757.803955078125
[3345],[6954.7104],5708.439453125
[3126],[3839.736],4459.763610839844
[3186],[1700.2192],3864.967041015625
[2429],[745.67334],3501.360310872396
[3218],[620.5807],3372.2258823939733
[2642],[969.80914],3159.721504211426
[5081],[1622.638],3192.9037882486978
[4824],[2458.4749],3110.1659240722656
[4416],[3741.001],2888.7871149236507
[3890],[5080.821],2747.2899220784507
[4343],[6028.2446],2665.5941302959736
[2440],[6392.49],2757.5152805873327
[3833],[5986.56],2717.251599121094
[2521],[5135.003],2710.798557281494
[3693],[4296.7764],2586.8560755112594
[3216],[3439.7036],2455.569827609592
[3681],[2852.2148],2369.949581748561
[2822],[2392.2222],2272.9409942626953
[5015],[2143.6868],2301.4349103655136
[5789],[1890.8558],2374.0126037597656
[4755],[2051.7903],2388.3255217179008
[4556],[2531.4294],2373.169064839681
[4660],[3024.8367],2343.648835449219
[2794],[3532.3054],2281.9048579289365
[3676],[3996.5642],2209.26261167173
[2026],[4241.061],2209.4696982247488
[2819],[4390.5854],2187.473689638335
[3191],[4328.348],2152.4695048014323
[3373],[4251.292],2111.3670043945312
[2634],[4164.431],2093.2127590179443
[5302],[4017.2046],2068.7152635978928
[4533],[3916.4927],2026.0032653808594
[4464],[3971.5532],1982.1873657226563
[3942],[4005.6497],1928.8946516248916
[4535],[4013.781],1890.8493635847763
[2686],[4030.3564],1876.4679709986638
[3721],[3970.2627],1834.7447588015825
[2649],[3854.8018],1819.0211837768554
[3512],[3723.0671],1779.8027924328317
[3800],[3575.747],1742.7658909388952
[4135],[3492.9722],1717.167331429415
[2568],[3462.0562],1698.460259177468
[6152],[3382.8801],1722.2526950412325
[5186],[3422.619],1723.1467908776324
[4897],[3660.3022],1712.7968113676031
[4541],[3896.0815],1690.5493456522624
[4368],[4120.3843],1661.1017206931601
[2787],[4325.14],1658.6424890136718
[3883],[4357.7944],1635.4297820446538
[3461],[4386.565],1621.7785351092998
[3231],[4377.8296],1612.817234255233
[2894],[4295.529],1608.9044856318721
[3443],[4133.8213],1592.2120638760653
[2908],[3979.9165],1582.921071733747
[5955],[3779.189],1593.322650039405
[5316],[3814.0544],1591.74718291184
[4586],[3929.4045],1575.8971536927304
[4010],[3995.9133],1549.866978963216
[4789],[4009.5532],1537.2371395924051
[3030],[4109.951],1529.8615594679309
[5525],[4053.148],1528.9407736157614
[4266],[4229.505],1505.6213102340698
[5238],[4330.402],1496.420953838642
[5199],[4529.6157],1483.8900951038706
[3986],[4749.9775],1473.1451315808652
[3612],[4791.5],1468.826820822323
[3187],[4730.759],1469.9127913765285
[3145],[4577.0537],1469.3719473702567
[3475],[4375.121],1461.3543297136334
[3151],[4196.147],1455.5736719767253
[5442],[3959.5771],1455.9414689573523
[4349],[3976.0066],1441.3070357039169
[4943],[3910.7031],1435.8535668945312
